"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U3";"RM_8_ADI";1;"ADA4062-2ARMZ";;;
2;"C8,C3,C12,C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"0.1uF";;;
3;"J4";"CONN_5569-02A_MOL";1;"39300020";;;
4;"R17,R16";"R_2010_5025Metric_Pad1.40x2.65mm_HandSolder";2;"8.2kΩ";;;
5;"R2";"R_1218_3246Metric_Pad1.22x4.75mm_HandSolder";1;"330Ω";;;
6;"C13,C1,C16,C2";"C_Radial_D18.0mm_H35.5mm_P7.50mm";4;"1000uF";;;
7;"R24,R26,R15,R25,R10,R27,R14,R12";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";8;"100kΩ";;;
8;"U2,U1";"RM_8_ADI";2;"ADA4062-2ARMZ";;;
9;"R11,R23";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"180kΩ";;;
10;"BR1";"MB4F";1;"MB1F";;;
11;"C7,C11,C5,C4";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";4;"0.33uF";;;
12;"R6,R5,R22,R9,R21,R8";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";6;"10kΩ";;;
13;"D5";"D_SOD-123";1;"6V";;;
14;"TP3,TP5,TP10,TP6,TP2,TP4,TP7,TP9,TP1,TP8";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";10;"TestPoint";;;
15;"R7";"RESM11569X253N";1;"50mΩ";;;
16;"J5,J3";"768250004";2;"76825-0004";;;
17;"C14,C15";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"100nF";;;
18;"J2,J1,J6";"CONN_1017491";3;"1017503";;;
19;"IC6";"MC7805BDTRKG";1;"MC7805BDTRKG";;;
20;"R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100Ω";;;
21;"IC7";"MC7915BD2TR4G";1;"MC7915BD2TR4G";;;
22;"C10,C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"4.7nF";;;
23;"D7,D6";"D_SOD-123";2;"BAV16W";;;
24;"R18,R20";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"18kΩ";;;
25;"R4";"R_1218_3246Metric_Pad1.22x4.75mm_HandSolder";1;"1kΩ";;;
26;"D1";"LED_LWQH8G_OSR";1;"LED-R";;;
27;"T1";"AVB23215";1;"AVB2.3_2_15";;;
28;"D2";"LED_LWQH8G_OSR";1;"LED-G";;;
29;"D3";"LED_LWQH8G_OSR";1;"LED-B";;;
30;"IC5";"MC7812BDTRKG";1;"MC7812BDTRKG";;;
31;"IC4";"NVD5117PLT4GVF01";1;"MC7815BDTRKG";;;
32;"R1,R3";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";2;"1.2kΩ";;;
33;"R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"22kΩ";;;
34;"D4";"LED_LWQH8G_OSR";1;"LED-W";;;
35;"Q1";"TO546P1587X531X2511-3";1;"IRFP460";;;
36;"BR2";"KBJB1506_T0_00301";1;"KBJB1506_T0_00301";;;
